"","place","lat","lng"
"1","England",14.32689,120.97685
"2","Lower City",41.92482,-73.27623
"3","Scotland",41.69843,-72.08146
"4","London",51.50853,-0.12574
"5","Tuscany",28.334,-81.53525
"6","Plymouth",41.67204,-73.05289
"7","Dalkeith",55.89317,-3.06806
"8","Cornwall",41.84371,-73.32928
"9","Aberdeen",18.20508,-77.67932
"10","Angus",42.73479,-76.97274
"11","Dundee",18.23679,-77.88698
"12","Stockholm",14.34789,120.94408
"13","Poland",14.32581,120.9775
"14","Regensburg",49.01315,12.1119
"15","Lorraine",40.71398,-76.17911
"16","Naples",14.32771,120.97567
"17","Milan",41.29755,-82.60545
"18","Catalonia",41.82046,1.86768
"19","Rome",42.98029,-88.63121
"20","France",52.3764,4.902
"21","Spain",30.86464,-83.53794
"22","Latere",2.81667,34.35
"23","Venice",14.32641,120.97603
"24","Istanbul",41.01384,28.94966
"25","Paris",40.40368,-80.51257
"26","Ferte",18.43333,-72.4
"27","Roussillon Regional County Municipality",45.36678,-73.56588
"28","Péronne",46.43865,4.81017
"29","Falmouth",18.47821,-77.65167
"30","Liverpool",38.89481,-81.53068
"31","Aucilla (historical)",30.41687,-83.76655
"32","Warwick",37.45904,-77.42276
"33","Middleburg",39.59399,-77.21276
"34","Marseilles",40.70144,-83.3927
"35","New Haven",41.03172,-82.68157
"36","St. Martin",44.16962,-66.13762
"37","Bristol",41.67176,-72.94927
"38","Lower City",41.92482,-73.27623
"39","Cadiz",40.27285,-80.99676
"40","Milford",40.56871,-75.09462
"41","Amsterdam",14.3481,120.94402
"42","Sweden",44.1334,-70.82257
"43","Walnut Hill",43.82452,-70.24672
"44","England",14.32689,120.97685
"45","Hague",38.07235,-76.65107
"46","Zealand Forest Camp",44.26451,-71.49508
"47","Scotland",41.69843,-72.08146
"48","City of London",51.51334,-0.08901
"49","Temple Bar",38.24568,-76.42301
"50","Whitehall",51.5042,-0.1264
"51","Estampes",43.39424,0.27548
"52","Chester",40.61312,-80.56285
"53","Dublin",40.37177,-75.20156
"54","Munster",41.56448,-87.51254
"55","New Moatsville (historical)",39.2176,-79.93785
"56","Burlington",41.76926,-72.96455
"57","York",17.93333,-77.45
"58","Portugal",-24.16667,29.25
"59","West Indies",19.38333,-71.21667
"60","Cowes",50.76306,-1.29772
"61","Isle of Wight",50.67596,-1.2962
"62","St Helens",50.69688,-1.11159
"63","Biscayne",17.71702,-88.45723
"64","Man of War",45.33345,-60.94851
"65","Yarmouth",43.80064,-70.18672
"66","Calice",46.86808,11.3638
"67","Thames",51.52361,0.11856
"68","Edinburgh",55.95206,-3.19648
"69","Strathspey",6.76647,-58.02008
"70","New England",39.20702,-81.70874
"71","Gió",46.40174,8.91205
"72","Saint-Eusèbe",46.71346,4.46203
"73","Nahom Yahudi",31.8,47.15
"74","Cornhill",51.51336,-0.08597
"75","Hereford",38.81981,-81.61735
"76","Wales",18.43109,-77.66742
"77","Hertford",51.79588,-0.07854
"78","England",14.32689,120.97685
"79","Melrose",41.9376,-72.5212
"80","Scotland",39.04066,-77.15915
"81","London",-24.81927,31.04765
"82","Scotland",39.04066,-77.15915
"83","Dalkeith",55.89317,-3.06806
"84","Blair Castle",56.76667,-3.85
"85","Glen Lyon",41.17508,-76.07465
"86","Edinburgh",-24.6774,31.22657
"87","Johnston",40.54534,-81.36956
"88","Kenmore",38.95455,-77.26915
"89","Dumfries",-24.75516,31.2984
"90","Amsterdam",14.3481,120.94402
"91","England",14.32689,120.97685
"92","Hague",38.07235,-76.65107
"93","Stuarts",-46.52841,169.4401
"94","Paris",40.40368,-80.51257
"95","Castillon",50.24715,4.35359
"96","Naples",14.32771,120.97567
"97","Alsatia",32.61291,-91.18233
"98","Bagnoles-de-l'Orne",48.5572,-0.41383
"99","Dom-le-Mesnil",49.69012,4.80363
"100","France",52.3764,4.902
"101","Poland",14.32581,120.9775
"102","Istanbul",41.01384,28.94966
"103","Smolensk",54.7818,32.0401
"104","Regensburg",49.01681,12.09536
"105","Maastricht",50.84833,5.68889
"106","Diest",50.98923,5.05062
"107","Plymouth",40.99561,-82.66712
"108","Warwick",37.45904,-77.42276
"109","Man of War",45.33345,-60.94851
"110","Brest",48.39029,-4.48628
"111","Whitehall",39.17421,-86.68445
"112","Dover",35.40147,-93.11434
"113","Barque",19.8,-72.46667
"114","Rome",43.21285,-75.45573
"115","Terra Nova",27.9466,-82.4871
"116","Marino",53.37022,-6.23646
"117","Spain",30.86464,-83.53794
"118","Venice",14.32641,120.97603
"119","Bashaw",45.76911,-92.06324
"120","Buda",48.66681,-89.81685
"121","Rhodes",28.0603,-82.2882
"122","Barbary",-34.61323,148.01338
"123","Candia",43.07786,-71.27673
"124","Dalmatia",40.65425,-76.90248
"125","Picardie",50,3.5
"126","Fontainebleau",42.30285,-82.9749
"127","Brussels",14.32037,120.95255
"128","Susa",45.13677,7.05809
"129","Sweden",44.1334,-70.82257
"130","Hollander",51.285,5.85417
"131","Russia",41.04065,-74.53266
"132","Denmark",39.26976,-87.02584
"133","Inverness",18.27531,-77.36862
"134","Hoy",39.31788,-78.55196
"135","Garmouth",57.66453,-3.10875
"136","Vnesh",42.58306,20.46833
"137","Sutherland",42.30009,-83.06655
"138","Auchness",57.98333,-4.58333
"139","Assinie-Mafia",5.13384,-3.29096
"140","Caithness-shire",58.41667,-3.5
"141","Seaford",38.64123,-75.61104
"142","Glencairn",-25.06622,31.10175
"143","Montrose",37.5207,-77.37831
"144","Palm Harbor",28.07807,-82.76371
"145","Skelbo",57.92725,-4.04271
"146","Glengary",42.56503,-83.5041
"147","Athol",-24.71636,31.34584
"148","Forbes",45.43333,-75.63333
"149","Aberdeen",18.20508,-77.67932
"150","Aucilla (historical)",30.41687,-83.76655
"151","Stafford",41.98482,-72.28897
"152","Harwich",42.38339,-82.03309
"153","Wales",-24.7,30.98333
"154","Melrose",41.9376,-72.5212
"155","Peterboro",42.96729,-75.68796
"156","England",14.32689,120.97685
"157","Lower City",41.92482,-73.27623
"158","Scotland",39.04066,-77.15915
"159","London",40.91033,-82.62934
"160","Dalkeith",45.45009,-74.58256
"161","Kincardineshire",56.91667,-2.5
"162","Stirling",40.67205,-74.49488
"163","Athol",45.32013,-74.8936
"164","Weems",40.28618,-80.75425
"165","Montrose",34.20639,-118.22424
"166","Ernée",48.29764,-0.93143
"167","Drummond",38.97011,-77.09748
"168","Naples",14.32771,120.97567
"169","Catalonia",41.82046,1.86768
"170","Milan",39.12117,-85.13135
"171","Rome",43.21285,-75.45573
"172","Sambuci",41.98612,12.93799
"173","Barberini",43.86667,12.18333
"174","Venice",14.32641,120.97603
"175","Dalmatia",40.65425,-76.90248
"176","Istanbul",41.01384,28.94966
"177","Lago di Candia",45.31667,7.9
"178","Corfu",42.96006,-78.40558
"179","Zante",36.11467,-119.04566
"180","Pinerolo",44.88534,7.33135
"181","Turin",45.21154,7.73357
"182","Faransā",33.52556,36.28577
"183","Frankfurt am Main",50.11552,8.68417
"184","Poland",14.32581,120.9775
"185","Landkreis Regensburg",49.05215,12.07968
"186","Vienna",38.90122,-77.26526
"187","Hamburg",38.3834,-85.76746
"188","Saxony Pen",17.95,-77.35
"189","Liège Province",50.63427,5.56543
"190","England",14.32689,120.97685
"191","Mylor",-35.04303,138.759
"192","Cornwall",41.84371,-73.32928
"193","Barque",19.8,-72.46667
"194","St. Ives",43.15722,-81.16667
"195","Bayonne",40.66871,-74.11431
"196","Dutchman",39.06064,-81.16511
"197","Maastricht",50.84833,5.68889
"198","Constantia",43.24785,-76.0002
"199","Suwīsrā",33.51892,36.28666
"200","Texel",-27.6995,26.86868
"201","Paris",40.40368,-80.51257
"202","Villanova",40.03733,-75.34908
"203","Languedoc",-23.87643,30.41693
"204","Biscay",44.82746,-94.27498
"205","Provence",19.53333,-72.1
"206","Luxemburg",43.39589,-80.7069
"207","Namun",-1.85906,115.63282
"208","Antwerp",51.209,4.43
"209","Asbāniyā",33.52062,36.28286
"210","Saint Helens Point",-41.28026,148.35766
"211","Alsatia",32.61291,-91.18233
"212","Conde",45.15719,-98.09759
"213","Flanders",40.84565,-74.69488
"214","St. Germans",50.40836,-4.34878
"215","Blois",47.59306,1.32722
"216","Mazarin",50.66667,3.86667
"217","Germany",14.32722,120.97739
"218","Lago di Candia",45.31667,7.9
"219","Italy",33.52183,36.2805
"220","Genoa",38.12203,-82.45987
"221","Massena",44.9281,-74.89186
"222","Sicily",39.79899,-76.29107
"223","Madrid",44.75034,-75.13104
"224","Florence",40.43229,-80.43368
"225","Stenay",49.49,5.18556
